,600000.SH,600005.SH,600009.SH,600010.SH,600015.SH,600016.SH,600018.SH,600019.SH,600028.SH,600029.SH,600030.SH,600031.SH,600036.SH,600048.SH,600050.SH,600058.SH,600068.SH,600089.SH,600100.SH,600104.SH,600109.SH,600111.SH,600123.SH,600150.SH,600177.SH,600183.SH,600188.SH,600196.SH,600256.SH,600276.SH,600309.SH,600320.SH,600332.SH,600340.SH,600346.SH,600348.SH,600362.SH,600372.SH,600383.SH,600406.SH,600436.SH,600438.SH,600485.SH,600489.SH,600518.SH,600519.SH,600547.SH,600549.SH,600550.SH,600570.SH,600583.SH,600585.SH,600588.SH,600598.SH,600606.SH,600637.SH,600642.SH,600690.SH,600703.SH,600739.SH,600745.SH,600760.SH,600795.SH,600809.SH,600832.SH,600837.SH,600887.SH,600893.SH,600900.SH,600905.SH,600918.SH,600919.SH,600930.SH,600941.SH,600958.SH,600999.SH,601006.SH,601012.SH,601066.SH,601088.SH,601111.SH,601117.SH,601118.SH,601127.SH,601138.SH,601166.SH,601168.SH,601169.SH,601186.SH,601198.SH,601211.SH,601225.SH,601229.SH,601236.SH,601288.SH,601299.SH,601318.SH,601319.SH,601328.SH,601333.SH,601336.SH,601360.SH,601377.SH,601390.SH,601398.SH,601600.SH,601601.SH,601618.SH,601628.SH,601633.SH,601658.SH,601668.SH,601669.SH,601688.SH,601699.SH,601727.SH,601728.SH,601766.SH,601788.SH,601800.SH,601816.SH,601818.SH,601857.SH,601878.SH,601881.SH,601888.SH,601898.SH,601899.SH,601901.SH,601919.SH,601939.SH,601958.SH,601985.SH,601988.SH,601989.SH,601995.SH,601998.SH,603019.SH,603160.SH,603259.SH,603260.SH,603288.SH,603501.SH,603799.SH,603986.SH,603993.SH,688008.SH,688012.SH,688041.SH,688111.SH,688256.SH,688599.SH,688981.SH
2018-01-02,0.022222222222222223,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.0,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.022222222222222223,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.022222222222222223,0.022222222222222223,0.0,0.022222222222222223,0.0,0.022222222222222223,0.0,0.022222222222222223,0.0,0.022222222222222223,0.0,0.022222222222222223,0.0,0.022222222222222223,0.0,0.0,0.022222222222222223,0.022222222222222223,0.0,0.022222222222222223,0.0,0.022222222222222223,0.0,0.0,0.022222222222222223,0.0,0.022222222222222223,0.0,0.0,0.0,0.022222222222222223,0.0,0.022222222222222223,0.0,0.022222222222222223,0.022222222222222223,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,0.020833333333333332,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,0.020833333333333332,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-02,0.020833333333333332,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-02,0.020833333333333332,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,0.020822838358270986,0.0,0.0,0.0,0.0,0.020822838358270986,0.0,0.020822838358270986,0.020822838358270986,0.020822838358270986,0.020822838358270986,0.0,0.020822838358270986,0.020822838358270986,0.020822838358270986,0.0,0.0,0.0,0.0,0.020822838358270986,0.0,0.020822838358270986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020822838358270986,0.020822838358270986,0.020822838358270986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020822838358270986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020822838358270986,0.020822838358270986,0.0,0.0,0.0,0.0,0.020822838358270986,0.0,0.0,0.020822838358270986,0.020822838358270986,0.020822838358270986,0.0,0.0,0.020822838358270986,0.0,0.0,0.0,0.0,0.0,0.020822838358270986,0.0,0.020822838358270986,0.020822838358270986,0.0,0.020822838358270986,0.0,0.020822838358270986,0.0,0.020822838358270986,0.0,0.020822838358270986,0.0,0.020822838358270986,0.0,0.020822838358270986,0.0,0.0,0.021326597161263658,0.020822838358270986,0.0,0.020822838358270986,0.0,0.020822838358270986,0.0,0.0,0.020822838358270986,0.020822838358270986,0.020822838358270986,0.0,0.0,0.0,0.020822838358270986,0.0,0.020822838358270986,0.0,0.020822838358270986,0.020822838358270986,0.020822838358270986,0.020822838358270986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020822838358270986,0.020822838358270986,0.020822838358270986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020822838358270986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-02,0.019384371918607986,0.0,0.0,0.0,0.0,0.019384371918607986,0.0,0.019384371918607986,0.019384371918607986,0.019384371918607986,0.019384371918607986,0.0,0.019384371918607986,0.019384371918607986,0.019384371918607986,0.0,0.0,0.0,0.0,0.019384371918607986,0.0,0.019384371918607986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019384371918607986,0.019384371918607986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02033477380388634,0.019384371918607986,0.019384371918607986,0.0,0.0,0.0,0.0,0.019384371918607986,0.0,0.0,0.019384371918607986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02019059622297539,0.019384371918607986,0.0,0.0,0.0,0.0,0.020605324290355886,0.0,0.0,0.019384371918607986,0.019384371918607986,0.019384371918607986,0.0,0.0,0.019384371918607986,0.0,0.0,0.0,0.0,0.0,0.019384371918607986,0.0,0.019384371918607986,0.019384371918607986,0.0,0.019384371918607986,0.0,0.019384371918607986,0.0,0.019384371918607986,0.0,0.019384371918607986,0.0,0.019384371918607986,0.0,0.019384371918607986,0.0,0.0,0.023729336695803772,0.019384371918607986,0.0,0.019384371918607986,0.0,0.019384371918607986,0.0,0.0,0.019384371918607986,0.02154779645207357,0.019384371918607986,0.0,0.0,0.0,0.019384371918607986,0.0,0.019384371918607986,0.0,0.019384371918607986,0.019384371918607986,0.019384371918607986,0.019384371918607986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02129543619754568,0.019384371918607986,0.019384371918607986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019384371918607986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,0.018293080327888598,0.0,0.0,0.0,0.0,0.018293080327888598,0.0,0.018293080327888598,0.018293080327888598,0.018293080327888598,0.018293080327888598,0.0,0.018293080327888598,0.018293080327888598,0.018293080327888598,0.0,0.0,0.0,0.0,0.018293080327888598,0.0,0.018293080327888598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018293080327888598,0.018293080327888598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01941581210897977,0.018293080327888598,0.018293080327888598,0.0,0.0,0.0,0.0,0.018293080327888598,0.0,0.0,0.018293080327888598,0.0,0.0,0.018293080327888598,0.018293080327888598,0.0,0.0,0.0,0.0,0.0,0.0,0.019278150148817758,0.018293080327888598,0.0,0.0,0.0,0.0,0.01967413597635822,0.0,0.0,0.018293080327888598,0.018293080327888598,0.018293080327888598,0.0,0.0,0.018293080327888598,0.0,0.0,0.0,0.0,0.0,0.018293080327888598,0.0,0.018293080327888598,0.018293080327888598,0.0,0.018293080327888598,0.0,0.018293080327888598,0.0,0.018293080327888598,0.0,0.018293080327888598,0.0,0.018293080327888598,0.0,0.018293080327888598,0.018293080327888598,0.0,0.02265696915047033,0.018293080327888598,0.0,0.018293080327888598,0.0,0.018293080327888598,0.0,0.0,0.018293080327888598,0.02057401627924889,0.018293080327888598,0.0,0.0,0.0,0.018293080327888598,0.0,0.018293080327888598,0.0,0.018293080327888598,0.018293080327888598,0.018293080327888598,0.018293080327888598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020333060597472315,0.018293080327888598,0.018293080327888598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018293080327888598,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-03,0.018348120650535087,0.0,0.0,0.0,0.0,0.018348120650535087,0.0,0.018348120650535087,0.018348120650535087,0.018348120650535087,0.018348120650535087,0.0,0.018348120650535087,0.018348120650535087,0.018348120650535087,0.0,0.0,0.0,0.0,0.018348120650535087,0.0,0.018348120650535087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018348120650535087,0.018348120650535087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019741819792415283,0.018348120650535087,0.018348120650535087,0.0,0.0,0.0,0.0,0.018348120650535087,0.0,0.0,0.018348120650535087,0.0,0.0,0.018348120650535087,0.018348120650535087,0.0,0.0,0.0,0.0,0.0,0.0,0.01960184637309423,0.018348120650535087,0.0,0.0,0.0,0.0,0.020004481133040146,0.0,0.0,0.018348120650535087,0.018348120650535087,0.018348120650535087,0.0,0.0,0.018348120650535087,0.0,0.0,0.0,0.0,0.0,0.018348120650535087,0.0,0.018348120650535087,0.018348120650535087,0.0,0.018348120650535087,0.0,0.018348120650535087,0.0,0.018348120650535087,0.0,0.018348120650535087,0.0,0.018348120650535087,0.0,0.018348120650535087,0.018348120650535087,0.0,0.018348120650535087,0.018348120650535087,0.0,0.018348120650535087,0.0,0.018348120650535087,0.0,0.0,0.018348120650535087,0.02091947117696395,0.018348120650535087,0.0,0.0,0.0,0.018348120650535087,0.0,0.018348120650535087,0.0,0.018348120650535087,0.018348120650535087,0.018348120650535087,0.018348120650535087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020674469648267055,0.018348120650535087,0.018348120650535087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018348120650535087,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-08,0.018348469517690102,0.0,0.0,0.0,0.0,0.018348469517690102,0.0,0.018348469517690102,0.018348469517690102,0.018348469517690102,0.018348469517690102,0.0,0.018348469517690102,0.018348469517690102,0.018348469517690102,0.0,0.0,0.0,0.0,0.018348469517690102,0.0,0.018348469517690102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018348469517690102,0.018348469517690102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01973847652540886,0.018348469517690102,0.018348469517690102,0.0,0.0,0.0,0.0,0.018348469517690102,0.0,0.0,0.018348469517690102,0.0,0.0,0.018348469517690102,0.018348469517690102,0.0,0.0,0.0,0.0,0.0,0.0,0.019598526810514227,0.018348469517690102,0.0,0.0,0.0,0.0,0.020001093384471074,0.0,0.0,0.018348469517690102,0.018348469517690102,0.018348469517690102,0.0,0.0,0.018348469517690102,0.0,0.0,0.0,0.0,0.0,0.018348469517690102,0.0,0.018348469517690102,0.018348469517690102,0.0,0.018348469517690102,0.0,0.018348469517690102,0.0,0.018348469517690102,0.0,0.018348469517690102,0.0,0.018348469517690102,0.0,0.018348469517690102,0.018348469517690102,0.0,0.018348469517690102,0.018348469517690102,0.0,0.018348469517690102,0.0,0.018348469517690102,0.0,0.0,0.018348469517690102,0.02091592847530255,0.018348469517690102,0.0,0.0,0.0,0.018348469517690102,0.0,0.018348469517690102,0.0,0.018348469517690102,0.018348469517690102,0.018348469517690102,0.018348469517690102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020670968437488266,0.018348469517690102,0.018348469517690102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018348469517690102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
